ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
93,Nombre93,CAM,LIC-ADME-18,LI,AS,,14044,0,0,14044,7146,6898,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
94,Nombre94,CAM,LIC-DSGD-18,LI,AS,,13882,0,593.81,13288.19,13289.01,0.11,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,3299,0,100,3299,0,3299,3299,0,100
95,Nombre95,CAM,LIC-EJDE-17,LI,AS,400,9516,0,0,9516,5409.73,4106.27,0,0,2307,138.42,2168.58,2168.58,0,100,2307,138.42,2168.58,2168.58,0,100,2307,138.42,2168.58,115.54,2053.04,5.327,2307,138.42,2168.58,115.35,2053.23,5.319
96,Nombre96,CAM,LIC-DSGD-18,LI,AS,403,14061,0,0,14061,8122.2,5938.8,1320.2,2,3697,1109.1,2587.9,2587.9,0,100,3299,989.7,2309.3,1109.1,1200.2,48.02,3299,989.7,2309.3,0,2309.3,0,3299,989.7,2309.3,0,2309.3,0
97,Nombre97,CAM,LIC-DERE-18,LI,AS,,14044,0,0,14044,7146,6898,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
98,Nombre98,CAM,LIC-EJAD-17,LI,AS,4,9516,0,0,9516,6748.34,2767.66,0,0,2307,922.8,1384.2,1384.2,0,100,2307,922.8,1384.2,1384.2,0,100,2307,922.8,1384.2,0.74,1383.46,0.0534,2307,922.8,1384.2,0,1384.2,0
99,Nombre99,CAM,LIC-EDFI-18,LI,AS,,14044,0,0,14044,7146,6898,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
100,Nombre100,CAM,LIC-MEES-18,LI,AS,,13796.89,0,0,13796.89,7198.89,6598,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
101,Nombre101,CAM,LIC-EJAD-17,LI,AS,2,9700.5,0,0,9700.5,3979.6,5720.9,2029.7,2,2307,461.4,1845.6,1845.6,0,100,2307,461.4,1845.6,0.4,1845.2,0.0216,2307,461.4,1845.6,0,1845.6,0,2307,461.4,1845.6,0,1845.6,0
102,Nombre102,CAM,LIC-EJAD-17,LI,AS,,1140.91,0,0,1140.91,4837.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Nombre103,CAM,LIC-EJDE-17,LI,AS,4,9872.28,0,0,9872.28,7103.88,2768.4,0,0,2307,922.8,1384.2,1384.2,0,100,2307,922.8,1384.2,1384.2,0,100,2307,922.8,1384.2,0,1384.2,0,2307,922.8,1384.2,0,1384.2,0
